"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication","moa_v1"
"1","COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","HSP inhibitor","HSP90AA1","","","HSP inhibitor"
"2","O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31","O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31","GABA receptor antagonist|TP53 activator","GABRA1","","","gaba_antagonist"
"3","CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1","CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1","HDAC inhibitor","HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9","","","hdac_inhibitor"
"4","COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O","COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O","PI3K inhibitor","PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC","","","pi3k_inhibitor"
"5","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","RNA synthesis inhibitor|topoisomerase inhibitor","TOP2A|TOP2B","hematologic malignancy","acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)","dna_rna_damage"
"6","CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O","CC#CC[C@@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O","platelet aggregation inhibitor|prostanoid receptor agonist","PTGDR|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|PTGIR|TBXA2R","pulmonary","pulmonary arterial hypertension (PAH)","prostanoid_agonist"
"7","CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O","CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O","prostanoid receptor agonist","P2RY12|PPARD|PTGIR","pulmonary","pulmonary arterial hypertension (PAH)","prostanoid_agonist"
"8","CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O","CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O","PKC activator","KCNT2|TRPV4","","","PKC activator"
"9","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1","CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1","retinoid receptor agonist","RARA|RARB|RARG","dermatology","acne vulgaris (AV)","retinoid_agonist_ligand"
"10","COC1/C=C/C=C(\C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O","CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O","HSP inhibitor","HSP90AA1","","","HSP inhibitor"
"11","C=CCNC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O","HSP inhibitor","HSP90AA1","","","HSP inhibitor"
"12","CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1","CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1","RAF inhibitor","BRAF|LIMK1|NEK11|RAF1|SIK1","oncology","melanoma","raf_inhibitor"
"13","CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F","CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F","RAF inhibitor","BRAF|KDR","","","raf_inhibitor"
"14","NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O","NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O","sodium/potassium/chloride transporter inhibitor","ATP1A1|CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A1|SLC12A3","cardiology|gastroenterology|rheumatology|nephrology","edema|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|chronic renal failure|acute glomerulonephritis (AGN)|hypertension","sodium_potassium_chloride_transporter_inhibitor"
"15","NC(=O)NC1NC(=O)NC1=O","NC(=O)N[C@H]1NC(=O)NC1=O","cosmetic","","dermatology","skin protectant","cosmetic"
"16","O=C(CCCCCCC(=O)Nc1ccccc1)NO","O=C(CCCCCCC(=O)Nc1ccccc1)NO","HDAC inhibitor","HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","hdac_inhibitor"
"17","CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1","CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1","local anesthetic","SCN5A","pulmonary","cough suppressant","local anesthetic"
"18","CN(C)CCC=C1c2ccccc2CCc2ccccc21","CN(C)CCC=C1c2ccccc2CCc2ccccc21","norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4","neurology/psychiatry","depression","snri"
"19","Oc1ccc2c3c1OC1c4c(c5ccccc5n4Cc4ccccc4)CC4(O)C(C2)N(CC2CC2)CCC314","Oc1ccc2c3c1O[C@H]1c4c(c5ccccc5n4Cc4ccccc4)C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314","opioid receptor antagonist","","","","opioid_receptor_antagonist"
"20","CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1","C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1","protein synthesis inhibitor","ARF1|CYTH2","","","protein_synthesis_inhibitor"
