"","x"
"1","COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O"
"2","CCOC(=O)C1=C(CN2CCc3ccccc32)NC(=O)NC1c1cccc([N+](=O)[O-])c1"
"3","COc1ccc(NC2=C(NC(C)=O)C(=O)c3ccccc3C2=O)cc1"
"4","Cc1ccc(Nc2nc(=O)c3cccnc3s2)c(Br)c1"
"5","O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31"
"6","COc1cccc(CN(C)C(=O)c2ccc(OCc3cn4cccc(C)c4n3)cc2)c1OC"
"7","CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1"
"8","CC(=N)C(C#N)C(=O)COC(=O)c1cc(C)n(-c2ccc(F)cc2)c1C"
"9","COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O"
"10","O=C(CCNC(=O)c1ccc(Br)cc1)NC1CCCc2ccccc21"
"11","Cc1cc(NC(=O)COC(=O)c2c(C)nn(Cc3ccccc3)c2Cl)no1"
"12","C/C=C/c1ccc(OCc2cn3cccc(C)c3n2)c(OC)c1"
"13","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"
"14","Cc1cccn2cc(COc3ccc(-c4ccccc4)cc3)nc12"
"15","O=C(O)c1ccccc1Nc1ccc([N+](=O)[O-])cc1"
"16","Cn1ccc2c(-c3ccc(C(C)(C)C)cc3)cc3c(c21)C1CCC3O1"
"17","O=C(CCNC(=O)c1ccc(Cl)cc1)NC1CCCc2ccccc21"
"18","CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O"
"19","O[C@H]1C[C@H](c2ccc(Cl)cc2)N(Cc2cccs2)C[C@@H]1n1cc(C2CC2)nn1"
"20","C/C(=C1/SC(N2CCCC2)=NC1=O)c1ccc(Br)cc1"
"21","CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O"
"22","CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O"
"23","CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O"
"24","CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1"
"25","Cc1ccc(Nc2nc(=O)c3cccnc3s2)cc1"
"26","Cc1cccn2cc(COc3ccc(F)cc3Cl)nc12"
"27","COc1cc(C(=O)NCCC(=O)NC2CCCc3ccccc32)cc(OC)c1OC"
"28","C/C(N)=C(/C#N)C(=O)COC(=O)c1cc(C)n(-c2ccc(F)cc2)c1C"
"29","O=C(C1=CC=CN2CCS(=O)(=O)N=C12)N1CCc2ccccc2C1"
"30","COC(=O)C1=C(c2cc3ccccc3s2)C[C@@H]2CC[C@H]1N2C(=O)NC1CCCCC1"
"31","COc1ccccc1NC(=O)c1cccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)c1"
