,0,Atoms
0,CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,98
1,COc1ccc2c(NC(=O)Nc3cccc(C(F)(F)F)n3)ccnc2c1,26
2,O=C(O)c1ccccc1NC(=O)N1CCC(c2ccccc2C(F)(F)F)CC1,28
3,O=C(O)c1cc(C(=O)O)c(C(=O)N(Cc2cccc(Oc3ccccc3)c2)[C@H]2CCCc3ccccc32)cc1C(=O)O,42
4,CC(=O)NC1N=C(c2ccccc2)c2ccccc2NC1=O,22
5,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,24
6,Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1,23
7,Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl,20
8,CN1C[C@H]2CN(c3ccc(-c4ccccc4)nn3)C[C@H]2C1,21
9,CS(=O)(=O)Nc1c(O)ccc2c1CCCC2=C1NCCN1,21
10,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,27
11,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,26
12,N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O,26
13,O=C(Nc1ccc(S(=O)(=O)C(F)(F)F)cc1)C1=CCN(c2ncccc2C(F)(F)F)CC1,32
14,COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,25
15,C[C@H](/N=C(/NC#N)Nc1cccc2ncccc12)c1ccccc1,24
16,Clc1cccc(-n2nnnc2NCc2ccccc2Oc2ccccn2)c1Cl,28
17,CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C,27
18,CCCCOc1ccc(-c2cncc(C(=O)NCc3cccnc3N3CCOCC3)c2)cc1Cl,34
19,O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1,32
20,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,27
21,CCC(=N\O)/C(C)=C/c1ccc(F)cc1,15
22,Nc1nc2c(c(N3CCNCC3)n1)CCC1=C2[C@@H]2CCCC[C@@H]2O1,24
23,CCOC(=O)Nc1ccc(NCc2c(C)cc(C)cc2C)cc1N,24
24,Cc1ccc(Oc2ccccc2-c2csc(N=C3NCCCN3)n2)c(C)c1,27
25,Cc1ccc(-c2ccc(C)cn2)nc1,14
26,O=C(NCc1ccncc1)C12CC3CC(C1)CC(c1ccc(Cl)cc1)(C3)C2,27
27,NC1CCN(c2cccnc2)C1,12
28,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,25
29,C#Cc1cccc2c1c(C(=O)c1ccc(Cn3c(C)nc4cnccc43)c(F)c1)cn2C(=O)N(C)C,36
30,O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(F)cc1Cl)N1CCN2CCC[C@@H]2C1,30
31,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(-c3cccc(Br)c3)c12,30
32,c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,22
33,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],56
34,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,26
35,Oc1ccc(C2(c3ccccc3F)CCC(F)(F)CC2)cc1,22
36,CCCCOCCOc1nc(-c2ccc(C(=O)O)c(F)c2)sc1C,24
37,C/C(=N\NC(=O)[C@@H]1C(=O)NC[C@H]1c1ccccc1)c1cccc(Br)c1,25
38,C/C(=N\NC(=O)C(NC(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12)c1cccc(Br)c1,34
39,CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,23
40,CCN1C(C)(C)CC(Oc2ccc(C(=O)Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)nc2)CC1(C)C,41
41,CN(C)CCC1(c2ccc(Cl)cc2)Cc2ccccc2C(=O)O1,23
42,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,18
43,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,35
44,C[C@H](Nc1ncnc2[nH]cnc12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1,30
45,CN(C)c1nc(N)c(C(=O)Nc2cccnc2)nc1Cl,20
46,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,20
47,CC(=O)Nc1ccc(C(=O)O)cc1,13
48,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,21
49,CC1=CC(=O)NS(=O)(=O)O1,10
50,CC(=O)Nc1ccccc1,10
51,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,16
52,CC(=O)O[C@@H]1CC[C@@]2(C)C(CC[C@]3(C)C2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O,37
53,CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O,22
54,CC1(c2ccccc2)OC(C(=O)O)=CC1=O,16
55,N[C@@H](C(=O)O)[C@@H]1CC(Cl)=NO1,11
56,NC1(C(=O)O)CC1,7
57,C=CC(=O)O.[Na],6
58,COc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)Nc2cc(C)cc(C)c2)cc1,27
59,COCc1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c(F)c2)c2c(N)ncnn2c1CN1CCOCC1,42
60,CCOc1ccc(S(=O)(=O)O)c2cccnc12,17
61,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,32
62,CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC,33
63,CC(C)c1cccc2c1OC(C(C)C)C(=S)N2CC(=O)O,21
64,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,16
65,C[C@@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O,60
66,O=C(O)/C=C/c1ccc(-c2ccc(O)c(C34CC5CC(CC(C5)C3)C4)c2)cc1,28
67,O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2,27
68,O=C1N=C(N2CCOCC2)CN1c1ccc(Cl)cc1,19
69,O=C(CCCCCCCC(=O)NCCO)NCCO,19
70,Nc1ncnc2[nH]cnc12,10
71,Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,23
72,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,31
73,O=C(O)CCCCC(=O)O,10
74,O=C(COc1ccc(C(=O)c2ccccc2)cc1)NC1CCN(Cc2ccccc2)CC1,32
75,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,29
76,Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,30
77,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,22
78,Cc1cc(C)c(N)c(C#Cc2cccc(F)c2)n1,18
79,O=C(c1ccc(F)cc1)N1CCC[C@H](c2nc(-c3ccc(F)cc3)no2)C1,27
80,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,33
81,NS(=O)(=O)c1nn2cc(-c3ccccc3)nc2s1,18
82,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,15
83,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,29
84,Cc1c(CN(C)C(=O)/C=C/C2=CNC3=NC(=O)CCC3=C2)oc2ccccc12,28
85,Cc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2C(=O)O)n1,23
86,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,18
87,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,24
88,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,22
89,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,24
90,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1,25
91,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1,34
92,O=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(S(=O)(=O)NC2CC2)ccc1-c1ccsc1,32
