"","x"
"1","CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3"
"2","COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1"
"3","NC[C@H](CC(=O)O)c1ccc(Cl)cc1"
"4","CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O"
"5","COc1ccc2c(NC(=O)Nc3cccc(C(F)(F)F)n3)ccnc2c1"
"6","O=C(O)c1ccccc1NC(=O)N1CCC(c2ccccc2C(F)(F)F)CC1"
"7","O=C(O)c1cc(C(=O)O)c(C(=O)N(Cc2cccc(Oc3ccccc3)c2)[C@H]2CCCc3ccccc32)cc1C(=O)O"
"8","COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1"
"9","Cc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)cc1C"
"10","Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1"
"11","Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl"
"12","CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O"
"13","CN1C[C@H]2CN(c3ccc(-c4ccccc4)nn3)C[C@H]2C1"
"14","CS(=O)(=O)Nc1c(O)ccc2c1CCC[C@@H]2C1=NCCN1"
"15","Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12"
"16","NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12"
"17","N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O"
"18","O=C(Nc1ccc(S(=O)(=O)C(F)(F)F)cc1)C1=CCN(c2ncccc2C(F)(F)F)CC1"
"19","COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1"
"20","C[C@H](N/C(=N\c1cccc2ncccc12)NC#N)c1ccccc1"
