"","x"
"1","graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_1.csv"
"2","graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_10.csv"
"3","graphs_combined/AML001_CD34_24H_BRD-K49071277_10/graph_1.csv"
"4","graphs_combined/AML001_CD34_24H_BRD-K49071277_10/graph_2.csv"
"5","graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_1.csv"
"6","graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_10.csv"
"7","graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_1.csv"
"8","graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_10.csv"
"9","graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_1.csv"
"10","graphs_combined/AML001_CD34_6H_BRD-K43389675_1.11111/graph_2.csv"
"11","graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_1.csv"
"12","graphs_combined/AML001_HL60_24H_BRD-A45664787_10/graph_10.csv"
"13","graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_1.csv"
"14","graphs_combined/AML001_HL60_6H_BRD-A19037878_1.11111/graph_2.csv"
"15","graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_1.csv"
"16","graphs_combined/AML001_HL60_6H_BRD-A19500257_10/graph_10.csv"
"17","graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_1.csv"
"18","graphs_combined/AML001_HL60_6H_BRD-A75409952_10/graph_10.csv"
"19","graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_1.csv"
"20","graphs_combined/AML001_HL60_6H_BRD-K19706299_1.11111/graph_10.csv"
"21","graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_1.csv"
"22","graphs_combined/AML001_HL60_6H_BRD-K43389675_0.37037/graph_10.csv"
"23","graphs_combined/AML001_HL60_6H_BRD-K49071277_10/graph_1.csv"
"24","graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_1.csv"
"25","graphs_combined/AML001_HL60_6H_BRD-K68552125_0.37037/graph_10.csv"
"26","graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_1.csv"
"27","graphs_combined/AML001_HL60_6H_BRD-K71879491_10/graph_10.csv"
"28","graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_1.csv"
"29","graphs_combined/AML001_PC3_6H_BRD-K49071277_3.33333/graph_10.csv"
"30","graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_1.csv"
"31","graphs_combined/AML001_PC3_6H_BRD-K68552125_0.37037/graph_2.csv"
"32","graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_1.csv"
"33","graphs_combined/AML001_U937_24H_BRD-A19037878_10/graph_10.csv"
"34","graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_1.csv"
"35","graphs_combined/AML001_U937_24H_BRD-A19500257_10/graph_10.csv"
"36","graphs_combined/AML001_U937_24H_BRD-K68552125_10/graph_1.csv"
"37","graphs_combined/AML001_U937_24H_BRD-K68552125_10/graph_10.csv"
"38","graphs_combined/AML001_U937_6H_BRD-A75409952_10/graph_1.csv"
"39","graphs_combined/AML001_U937_6H_BRD-A75409952_10/graph_10.csv"
"40","graphs_combined/AML001_U937_6H_BRD-K49071277_10/graph_1.csv"
"41","graphs_combined/AML001_U937_6H_BRD-K49071277_10/graph_10.csv"
"42","graphs_combined/ASG001_MCF7_24H_BRD-A06304526-001-01-0_0.4/graph_1.csv"
"43","graphs_combined/ASG001_MCF7_24H_BRD-A06304526-001-01-0_0.4/graph_10.csv"
"44","graphs_combined/ASG001_PC3_24H_BRD-A06304526-001-01-0_10/graph_1.csv"
"45","graphs_combined/ASG001_PC3_24H_BRD-A06304526-001-01-0_10/graph_10.csv"
"46","graphs_combined/ASG001_PC3_24H_BRD-A61304759-001-01-0_10/graph_1.csv"
"47","graphs_combined/ASG001_PC3_24H_BRD-A61304759-001-01-0_10/graph_10.csv"
"48","graphs_combined/BRAF001_A375_24H_BRD-K09951645-001-02-7_10/graph_1.csv"
"49","graphs_combined/BRAF001_A375_24H_BRD-K09951645-001-02-7_10/graph_10.csv"
"50","graphs_combined/BRAF001_A375_6H_BRD-K16478699-001-05-0_10/graph_1.csv"
"51","graphs_combined/BRAF001_A375_6H_BRD-K16478699-001-05-0_10/graph_10.csv"
"52","graphs_combined/BRAF001_A375_6H_BRD-K36862742-001-19-9_10/graph_1.csv"
"53","graphs_combined/BRAF001_A375_6H_BRD-K36862742-001-19-9_10/graph_2.csv"
"54","graphs_combined/BRAF001_HEK293T_24H_BRD-A19037878-001-01-5_10/graph_1.csv"
"55","graphs_combined/BRAF001_HEK293T_24H_BRD-A19037878-001-01-5_10/graph_10.csv"
"56","graphs_combined/BRAF001_HEK293T_24H_BRD-A96407378-001-12-8_10/graph_1.csv"
"57","graphs_combined/BRAF001_HEK293T_24H_BRD-A96407378-001-12-8_10/graph_2.csv"
"58","graphs_combined/BRAF001_HEK293T_24H_BRD-K09951645-001-02-7_0.625/graph_1.csv"
"59","graphs_combined/BRAF001_HEK293T_24H_BRD-K09951645-001-02-7_0.625/graph_10.csv"
