"","files_weighted","sig_id","count","rdkit","cell_id","pert_iname","pert_dose","pert_time","pert_id","atoms","emb","identifier","sig_id_original"
"1","graphs_weighted/AML001_CD34_24H_BRD-A19500257_1.11111/graph.csv","AML001_CD34_24H_BRD-A19500257_1.11111",1,"COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O","CD34","geldanamycin",1.1,24,"BRD-A19500257",40,"AML001_CD34_24H_BRD-A19500257_1.11111_emb","geldanamycinCD341.124","AML001_CD34_24H:BRD-A19500257:1.11111"
"2","graphs_weighted/AML001_CD34_24H_BRD-A72796238_0.37037/graph.csv","AML001_CD34_24H_BRD-A72796238_0.37037",1,"CCOC(=O)C1=C(CN2CCc3ccccc32)NC(=O)NC1c1cccc([N+](=O)[O-])c1","CD34","BRD-A72796238",0.4,24,"BRD-A72796238",31,"AML001_CD34_24H_BRD-A72796238_0.37037_emb","BRD-A72796238CD340.424","AML001_CD34_24H:BRD-A72796238:0.37037"
"3","graphs_weighted/AML001_CD34_24H_BRD-K16300438_10/graph.csv","AML001_CD34_24H_BRD-K16300438_10",1,"COc1ccc(NC2=C(NC(C)=O)C(=O)c3ccccc3C2=O)cc1","CD34","BRD-K16300438",10,24,"BRD-K16300438",25,"AML001_CD34_24H_BRD-K16300438_10_emb","BRD-K16300438CD341024","AML001_CD34_24H:BRD-K16300438:10"
"4","graphs_weighted/AML001_CD34_24H_BRD-K41790758_3.33333/graph.csv","AML001_CD34_24H_BRD-K41790758_3.33333",1,"Cc1ccc(Nc2nc(=O)c3cccnc3s2)c(Br)c1","CD34","BRD-K41790758",3.3,24,"BRD-K41790758",20,"AML001_CD34_24H_BRD-K41790758_3.33333_emb","BRD-K41790758CD343.324","AML001_CD34_24H:BRD-K41790758:3.33333"
"5","graphs_weighted/AML001_CD34_24H_BRD-K49071277_10/graph.csv","AML001_CD34_24H_BRD-K49071277_10",1,"O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31","CD34","securinine",10,24,"BRD-K49071277",16,"AML001_CD34_24H_BRD-K49071277_10_emb","securinineCD341024","AML001_CD34_24H:BRD-K49071277:10"
"6","graphs_weighted/AML001_CD34_24H_BRD-K65971331_1.11111/graph.csv","AML001_CD34_24H_BRD-K65971331_1.11111",1,"COc1cccc(CN(C)C(=O)c2ccc(OCc3cn4cccc(C)c4n3)cc2)c1OC","CD34","BRD-K65971331",1.1,24,"BRD-K65971331",33,"AML001_CD34_24H_BRD-K65971331_1.11111_emb","BRD-K65971331CD341.124","AML001_CD34_24H:BRD-K65971331:1.11111"
"7","graphs_weighted/AML001_CD34_6H_BRD-A19037878_3.33333/graph.csv","AML001_CD34_6H_BRD-A19037878_3.33333",1,"CC(/C=C/C(=O)NO)=C\C(C)C(=O)c1ccc(N(C)C)cc1","CD34","trichostatin-a",3.3,6,"BRD-A19037878",22,"AML001_CD34_6H_BRD-A19037878_3.33333_emb","trichostatin-aCD343.36","AML001_CD34_6H:BRD-A19037878:3.33333"
"8","graphs_weighted/AML001_CD34_6H_BRD-A73513677_1.11111/graph.csv","AML001_CD34_6H_BRD-A73513677_1.11111",1,"CC(=N)C(C#N)C(=O)COC(=O)c1cc(C)n(-c2ccc(F)cc2)c1C","CD34","BRD-A73513677",1.1,6,"BRD-A73513677",26,"AML001_CD34_6H_BRD-A73513677_1.11111_emb","BRD-A73513677CD341.16","AML001_CD34_6H:BRD-A73513677:1.11111"
"9","graphs_weighted/AML001_CD34_6H_BRD-A75409952_10/graph.csv","AML001_CD34_6H_BRD-A75409952_10",1,"COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O","CD34","wortmannin",10,6,"BRD-A75409952",31,"AML001_CD34_6H_BRD-A75409952_10_emb","wortmanninCD34106","AML001_CD34_6H:BRD-A75409952:10"
"10","graphs_weighted/AML001_CD34_6H_BRD-A95504714_10/graph.csv","AML001_CD34_6H_BRD-A95504714_10",1,"O=C(CCNC(=O)c1ccc(Br)cc1)NC1CCCc2ccccc21","CD34","BRD-A95504714",10,6,"BRD-A95504714",25,"AML001_CD34_6H_BRD-A95504714_10_emb","BRD-A95504714CD34106","AML001_CD34_6H:BRD-A95504714:10"
"11","graphs_weighted/AML001_CD34_6H_BRD-K05456756_0.37037/graph.csv","AML001_CD34_6H_BRD-K05456756_0.37037",1,"Cc1cc(NC(=O)COC(=O)c2c(C)nn(Cc3ccccc3)c2Cl)no1","CD34","BRD-K05456756",0.4,6,"BRD-K05456756",27,"AML001_CD34_6H_BRD-K05456756_0.37037_emb","BRD-K05456756CD340.46","AML001_CD34_6H:BRD-K05456756:0.37037"
"12","graphs_weighted/AML001_CD34_6H_BRD-K13077924_3.33333/graph.csv","AML001_CD34_6H_BRD-K13077924_3.33333",1,"C/C=C/c1ccc(OCc2cn3cccc(C)c3n2)c(OC)c1","CD34","BRD-K13077924",3.3,6,"BRD-K13077924",23,"AML001_CD34_6H_BRD-K13077924_3.33333_emb","BRD-K13077924CD343.36","AML001_CD34_6H:BRD-K13077924:3.33333"
"13","graphs_weighted/AML001_CD34_6H_BRD-K43389675_1.11111/graph.csv","AML001_CD34_6H_BRD-K43389675_1.11111",1,"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","CD34","daunorubicin",1.1,6,"BRD-K43389675",38,"AML001_CD34_6H_BRD-K43389675_1.11111_emb","daunorubicinCD341.16","AML001_CD34_6H:BRD-K43389675:1.11111"
"14","graphs_weighted/AML001_CD34_6H_BRD-K63513868_10/graph.csv","AML001_CD34_6H_BRD-K63513868_10",1,"Cc1cccn2cc(COc3ccc(-c4ccccc4)cc3)nc12","CD34","BRD-K63513868",10,6,"BRD-K63513868",24,"AML001_CD34_6H_BRD-K63513868_10_emb","BRD-K63513868CD34106","AML001_CD34_6H:BRD-K63513868:10"
"15","graphs_weighted/AML001_CD34_6H_BRD-K74176882_3.33333/graph.csv","AML001_CD34_6H_BRD-K74176882_3.33333",1,"O=C(O)c1ccccc1Nc1ccc([N+](=O)[O-])cc1","CD34","BRD-K74176882",3.3,6,"BRD-K74176882",19,"AML001_CD34_6H_BRD-K74176882_3.33333_emb","BRD-K74176882CD343.36","AML001_CD34_6H:BRD-K74176882:3.33333"
