,files_combined,sig_id,pert_id,pert_iname,moa_v1
0,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_1.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
1,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_10.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
2,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_100.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
3,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_11.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
4,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_12.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
5,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_13.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
6,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_14.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
7,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_15.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
8,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_16.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
9,graphs_combined/AML001_CD34_24H_BRD-A19500257_1.11111/graph_17.csv,AML001_CD34_24H_BRD-A19500257_1.11111,BRD-A19500257,geldanamycin,HSP inhibitor
10,graphs_combined/AML001_CD34_24H_BRD-K49071277_10/graph_1.csv,AML001_CD34_24H_BRD-K49071277_10,BRD-K49071277,securinine,gaba_antagonist
11,graphs_combined/AML001_CD34_24H_BRD-K49071277_10/graph_2.csv,AML001_CD34_24H_BRD-K49071277_10,BRD-K49071277,securinine,gaba_antagonist
12,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_1.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
13,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_10.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
14,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_100.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
15,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_11.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
16,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_12.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
17,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_13.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
18,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_14.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
19,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_15.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
20,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_16.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
21,graphs_combined/AML001_CD34_6H_BRD-A19037878_3.33333/graph_17.csv,AML001_CD34_6H_BRD-A19037878_3.33333,BRD-A19037878,trichostatin-a,hdac_inhibitor
22,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_1.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
23,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_10.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
24,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_11.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
25,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_12.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
26,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_13.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
27,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_14.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
28,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_15.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
29,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_16.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
30,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_17.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
31,graphs_combined/AML001_CD34_6H_BRD-A75409952_10/graph_18.csv,AML001_CD34_6H_BRD-A75409952_10,BRD-A75409952,wortmannin,pi3k_inhibitor
