"","proteins"
"1","CDK5"
"2","FYN"
"3","PTPN2"
"4","SRC"
"5","PTPRJ"
"6","LCK"
"7","PTPRF"
"8","CTNNB1"
"9","SUMO1"
"10","YAP1"
"11","JUN"
"12","CDK2"
"13","MAPK14"
"14","PAK1"
"15","GSK3A"
"16","TP53"
"17","UBE2I"
"18","PCGF2"
"19","HDAC4"
"20","MAPK1"
"21","Perturbation"
"22","APC2"
"23","SOCS3"
"24","PRKCH"
"25","NKRF"
"26","MAX"
"27","SPAG9"
"28","CEBPB"
"29","E2F1"
"30","TFDP1"
"31","ZNF76"
"32","RELA"
"33","CDH2"
"34","CDON"
"35","CLOCK"
"36","ESR1"
"37","SOX2"
"38","TEAD1"
"39","SPI1"
"40","NFATC1"
"41","GATA6"
"42","JUNB"
"43","PRDM1"
"44","MEF2C"
"45","CTCF"
"46","MEF2A"
"47","RUNX2"
"48","POU5F1"
"49","ELF3"
"50","TCF4"
"51","KLF6"
"52","MEIS2"
"53","RFX1"
"54","HNF4A"
"55","LEF1"
"56","SREBF1"
"57","MYBL2"
"58","FOXM1"
"59","NFYB"
"60","SREBF2"
"61","REL"
"62","MNT"
"63","E2F4"
"64","STAT3"
"65","TBP"
"66","GABPA"
"67","BACH1"
"68","PRKACA"
"69","WNT7A"
"70","PTPRH"
"71","MAPK9"
"72","PRKAA2"
"73","DUSP9"
"74","PTPRE"
"75","NTN3"
"76","DUSP10"
"77","PTCRA"
"78","DUSP14"
"79","LAMTOR3"
"80","CDH15"
"81","CSNK2A1"
"82","AKT1"
"83","NOTCH1"
"84","RET"
"85","TLE2"
"86","TUB"
"87","FCGR3A"
"88","BRCA1"
"89","PTPRB"
"90","FHIT"
"91","DUSP7"
"92","IL7R"
"93","JAK1"
"94","IL7"
"95","RPS6KA3"
"96","PAK4"
"97","GNRH1"
"98","CAMK2B"
"99","PRKAA1"
"100","CAPN2"
"101","CTNNBIP1"
"102","ILK"
"103","SOX17"
"104","PPP2CA"
"105","TRAF6"
"106","PGR"
"107","FOXO1"
"108","EEF1E1"
"109","ATR"
"110","ATF2"
"111","CTBP1"
"112","CDK1"
"113","RBL1"
"114","CSNK2A2"
"115","PRKCD"
"116","CREBBP"
"117","PRKDC"
"118","FOXO3"
"119","KLF4"
"120","KMT2A"
"121","GATA2"
"122","ZEB2"
"123","SPIB"
"124","WT1"
"125","KLF5"
"126","MITF"
"127","MYB"
"128","PPARG"
"129","RELB"
"130","KLF1"
"131","CUX1"
"132","HIF1A"
"133","USF1"
"134","CARM1"
"135","PAX7"
"136","HOXB7"
"137","SP4"
"138","DUSP26"
"139","RBPJ"
"140","ATM"
"141","CHEK2"
"142","TLX1"
"143","BCL6"
"144","MAPK3"
"145","PLK1"
"146","PPP2R1A"
"147","RBL2"
"148","MUTYH"
"149","AMER1"
"150","PCSK7"
"151","PAWR"
"152","TIPRL"
"153","AXIN1"
"154","DUSP8"
"155","PPP2R1B"
"156","ABL1"
"157","BLVRA"
"158","TCF7"
"159","PAX6"
"160","CAMK2A"
"161","HOXD9"
"162","VDR"
"163","CHEK1"
"164","MYRIP"
"165","TFAP2A"
"166","EGR1"
"167","SRF"
"168","MAF"
"169","CEBPA"
"170","ATF4"
"171","TCF7L2"
"172","ETS2"
"173","MEIS1"
"174","E2F3"
"175","IRF2BP1"
"176","PPM1F"
"177","CABP1"
"178","PIN1"
"179","RB1"
"180","SP1"
"181","ATF3"
"182","GATA3"
"183","ESR2"
"184","PAX8"
"185","SP3"
"186","ELF1"
"187","POU2F1"
"188","TBX21"
"189","NAB1"
"190","SMAD3"
"191","CKS1B"
"192","CTDSPL"
"193","KMT2B"
"194","ETV1"
"195","SMAD1"
"196","FOS"
"197","SMAD2"
"198","GFI1B"
"199","PROX1"
"200","WWTR1"
"201","LATS2"
"202","STAT1"
"203","NFKB2"
"204","ZNF521"
"205","IRF1"
"206","ELK1"
"207","EBF1"
"208","AMOT"
"209","TJP2"
"210","PIAS1"
"211","FOXA1"
"212","AURKA"
"213","PIAS3"
"214","SMAD4"
"215","STAT5A"
"216","NCL"
"217","TWIST1"
"218","FHL5"
"219","NFIB"
"220","YY1"
"221","ATF1"
"222","IRF2"
"223","MAZ"
"224","CREM"
"225","NFIC"
"226","INS"
"227","RPS6KA5"
"228","PPP1CA"
"229","CHFR"
"230","SHOC2"
"231","RPS6KA4"
"232","CDKN3"
"233","AURKB"
"234","PARP1"
"235","KDM5B"
"236","CDK4"
"237","JAZF1"
"238","MYC"
"239","RPS6KA2"
"240","CBX4"
"241","DDX20"
"242","NR2C2"
"243","NFKB1"
"244","ETS1"
"245","FOXL2"
"246","E2F7"
"247","PTPRA"
"248","PDPK1"
"249","PPP2R2B"
"250","MAPK8"
"251","SIRT1"
"252","CTNNA2"
"253","PML"
"254","XRCC5"
"255","CDK5RAP3"
"256","EIF2AK3"
"257","DNAJC3"
"258","CREB1"
"259","SUMO2"
"260","ROCK2"
"261","ARHGAP1"
"262","ARHGEF7"
"263","HOXB8"
"264","TAF1"
"265","RARA"
"266","MYOD1"
"267","ARID3A"
"268","TP63"
"269","FOXK2"
"270","IRF4"
"271","PBX3"
"272","TFAP4"
"273","HBP1"
"274","E2F6"
"275","VAV2"
"276","PPP2CB"
"277","ARHGEF12"
"278","RHOA"
"279","RAP1GDS1"
"280","PRKCA"
"281","CASP3"
"282","EP300"
"283","IKBKB"
"284","RNF4"
"285","PATZ1"
"286","NRF1"
"287","MXI1"
"288","FLI1"
"289","HSF1"
"290","RPS6KB1"
"291","PPP2R5B"
"292","PPARGC1A"
"293","MAPKAP1"
"294","PPP3CC"
"295","CAMKK2"
"296","CAMK4"
"297","PPP3CB"
"298","PPP1CB"
"299","AR"
"300","CRTC2"
"301","MTCP1"
"302","THEM4"
"303","PDK2"
"304","PTK6"
"305","CHUK"
"306","HDAC1"
"307","SHC1"
"308","PHLPP2"
"309","PDPK2P"
"310","AKT2"
"311","STK4"
"312","DYRK1A"
"313","ID1"
"314","ASH2L"
"315","CLK1"
"316","MYLK2"
"317","HCK"
"318","GRIP1"
"319","ARHGEF2"
"320","CLK4"
"321","HDAC5"
"322","PRKD1"
"323","KAT6A"
"324","HIF1AN"
"325","CAMK2D"
"326","PAX5"
"327","KEAP1"
"328","MAP3K5"
"329","HSP90AB1"
"330","HSPA1A"
"331","NOD2"
"332","PTMA"
"333","NRTN"
"334","RPS6KA1"
"335","POU2AF1"
"336","TEAD4"
"337","FOXO4"
"338","TP73"
"339","KAT6B"
"340","EID2"
"341","FBXW11"
"342","ADRBK1"
"343","POU4F2"
"344","NLK"
"345","FZD3"
"346","WNT8A"
"347","HNF1A"
"348","WNT5B"
"349","WNT9A"
"350","WNT10A"
"351","MAP2K3"
"352","WNT6"
"353","WNT16"
"354","PTPN21"
"355","WNT7B"
"356","ITCH"
"357","NUP153"
"358","WNT2B"
"359","WNT10B"
"360","WNT9B"
"361","UBE2D3"
"362","MTMR4"
"363","NUP214"
"364","UBE2D2"
"365","FOXH1"
"366","RANBP3"
"367","WNT3"
"368","PPP2R2C"
"369","TRIM33"
"370","NCOR2"
"371","NCOA4"
"372","FER"
"373","KDM4A"
"374","RICTOR"
"375","TRIM24"
"376","KDM7A"
"377","KDM1A"
"378","STK11"
"379","ATAD2"
"380","MUL1"
"381","NCOA3"
"382","TCL1B"
"383","SRCAP"
"384","KDM3A"
"385","WHSC1"
"386","TNK2"
"387","EZH2"
"388","PIAS2"
"389","AKT3"
"390","USP7"
"391","SLC2A4RG"
"392","PTP4A2"
"393","MKL2"
"394","KPNB1"
"395","PIK3C3"
"396","EIF4E"
"397","CTDSP2"
"398","GSK3B"
"399","CTDSP1"
"400","MECOM"
"401","MAP4K5"
"402","TOPBP1"
"403","PDP1"
"404","MAPK10"
"405","DUSP22"
"406","PDP2"
"407","DVL1P1"
"408","RAF1"
"409","MKL1"
"410","SMAD7"
"411","MSH2"
"412","PLCG1"
"413","CDKN2A"
"414","PSME3"
"415","MYOCD"
"416","POU2F2"
"417","MAP2K1"
"418","CAMKK1"
"419","NR4A1"
"420","NR2F2"
"421","NR2F1"
"422","CASP1"
"423","SERPINB9"
"424","HNF1B"
"425","PCBD1"
"426","PYDC1"
"427","IKZF1"
"428","CEBPE"
"429","CEBPG"
"430","SQSTM1"
"431","TGFBR1"
"432","ZBTB16"
"433","DACT2"
"434","PDHX"
"435","NR3C1"
"436","ARHGAP32"
"437","HSP90AA1"
"438","DVL1"
"439","TGFB2"
"440","ZFYVE9"
"441","NEDD4L"
"442","MAPK11"
"443","ECT2"
"444","PKN1"
"445","MAPK8IP1"
"446","NOLC1"
"447","BCAR1"
"448","ZAP70"
"449","MAP3K1"
"450","PKNOX1"
"451","CSNK1G2"
"452","IRF2BP2"
"453","TNIK"
"454","IKBKAP"
"455","GHR"
"456","MAP4K1"
"457","NR0B2"
"458","RXRB"
"459","CDK20"
"460","RWDD3"
"461","SENP1"
"462","FAM107A"
"463","NUDT3"
"464","ARNT"
"465","WSB1"
"466","HIPK2"
"467","MAP3K7"
"468","CDKN1B"
"469","SENP3"
"470","PSMC3"
"471","CXCL1"
"472","CARD9"
"473","MAP2K4"
"474","WNT8B"
"475","SYK"
"476","SS18L1"
